article_id,url,title,author,time,content,tags,img_url
2147472,https://dongqiudi.com/articles/2147472.html,意媒、英媒：罗马左后卫最新传闻均为98年小将,荣灿Rycan,07-16 09:37,"['这段时间，除了已经官宣的帕特里西奥以及即将官宣的扎卡，剩下一个重要的因为应该就是在左后卫的位置上，今天据意大利媒体报道，两位98年的小将进入了罗马经理平托的视野当中。', '1998年出生的比尼亚，来自巴甲的帕尔梅拉斯(Palmeiras)，这名左后卫是在2020年1月从乌拉圭民族以405万转会而来的，比尼亚是一名全能的左后卫，同时也可以兼任中后卫的角色，AC米兰在去年也与这位小将差点打成租借买断的协议！', '这名小将的一线职业联赛经验主要还是来自于南美，一共出场115场，共打进10球，并有16次助攻，他的上一次亮相就是在不久前，美洲杯1/4决赛的点球大战中，第4轮罚丢点球，导致乌拉圭被哥伦比亚点球2:4淘汰出局。', '同样也是1998年出生的他，来自西甲的赫塔菲(Getafe)，其实这名球员是一名左边翼位，但同时也能胜任左边后卫的位置，对他同样感兴趣的还有来自英超的球队布莱顿，但是这名刚刚参加完U21欧青杯的队长，还在为了东京奥运会而备战，在8月7日之前，暂时不会考虑他的未来！', '这位巴萨出品的22岁小将，一共在一线职业联赛出场186次，共打进8个进球，18个助攻，他出色的跑位，也成为了斯皮纳佐拉比较合适的替代者，赫塔菲的主席在6月的新闻发布会中，明确表示库库是非卖品，除非能出违约金。库库是去年6月被赫塔菲买断，大致的转会金额为1500万左右，或许租借也是个不错的选择！', '消息参考来源：', 'https://www.forzaroma.info/']","['罗马', '赫塔费', '帕尔梅拉斯', '马克-库库雷利亚', '比尼亚']",https://xyimg1.qunliao.info/fastdfs6/M00/29/10/280x210/crop/-/rBUCgGDwd5eADVvXAAlodwg0xew153.png
2147468,https://dongqiudi.com/articles/2147468.html,巴雷拉谈攻破比利时球门：这辈子都没这么用力射过门,大风车keith,07-16 09:33,"['在欧洲杯1/4决赛意大利vs比利时的比赛中，意大利中场巴雷拉打进一粒进球。日前，巴雷拉在接受Rai Sport的一档特别节目采访时表示，自己这辈子都没这么用力射过门。', '巴雷拉说道：“我向维拉蒂要球，然后发现面前全是腿，我试着持球突破。只能说这是一个靠本能打进的球，我只能晃动然后射门，这样就不会给对方门将扑救的时间了。这是一个非常漂亮的进球，我这辈子都没这么用力射过门。”', '在这场比赛中，意大利队凭借巴雷拉的首开纪录和因西涅的破门，最终以2-1战胜了比利时，从而挺进欧洲杯半决赛。']","['意大利', '比利时', '国际米兰', '巴雷拉']",https://xyimg1.qunliao.info/fastdfs6/M00/29/1B/280x210/crop/-/rBUESWDw4LaATaqyALkeeRFe9pA148.jpg
2147466,https://dongqiudi.com/articles/2147466.html,伊布参加维拉蒂婚礼晒与前巴黎队友合照：真正的大巴黎,看镜子的人,07-16 09:32,"['欧洲杯结束后，意大利中场维拉蒂迎来了自己的婚礼，维拉蒂邀请了他在大巴黎的前队友和现队友参加婚礼。伊布在个人社交媒体上发布了一张他们在一起的照片，称他们为“真正的巴黎圣日尔曼”', '根据图片显示，参加婚礼的还有前巴黎圣日尔曼门将西里古、球员拉维奇和帕斯托雷以及现任巴黎球员姆巴佩。', '维拉蒂是第二位在赢得2020年欧洲杯冠军后结婚的意大利球员，此前意大利球员贝尔纳代斯基在战胜英格兰后不到48小时就与女友结婚了。']","['巴黎圣日耳曼', 'AC米兰', '维拉蒂', '伊布']",https://xyimg1.qunliao.info/fastdfs6/M00/29/1B/280x210/crop/-/rBUCgGDw4A2AWAlwAAFCdlltP20250.jpg
2147456,https://dongqiudi.com/articles/2147456.html,罗马诺：米兰续租迪亚斯两年可2300万欧买断，皇马拥有回购权,Diavel_aDRy,07-16 09:21,"['根据意大利知名记者法布里奇奥-罗马诺的报道，AC米兰已经完全和皇家马德里谈妥了卜拉欣-迪亚斯的转会问题，双方即将签署协议完成这笔交易。', '按照罗马诺的说法，卜拉欣-迪亚斯将会以300万欧元租借两个赛季外加2300万欧元买断权的方式继续留在米兰效力，而如果红黑军团选择激活买断条款，那么皇马就将拥有这位西班牙球星2700万欧元的回购权。', '上赛季在租借效力于米兰期间，现年21岁的卜拉欣-迪亚斯出战了37场正式比赛，其中21次担任首发，贡献了7粒进球和3次助攻。']","['AC米兰', '皇家马德里', '卜拉欣-迪亚斯']",https://csimg2.qunliao.info/fastdfs6/M00/29/1A/280x210/crop/-/rBUESWDw3xqAcXtcAAE5XCKjSdo495.jpg
2147442,https://dongqiudi.com/articles/2147442.html,冷啊！冷啊！冷！,那不勒斯足球俱乐部,07-16 09:09,['冷啊！冷啊！冷！'],"['那不勒斯', '波利塔诺', '拉马尼']",https://img.qunliao.info/kC5xDK4O_9367936261.mp4?vframe/jpg/offset/1
2147440,https://dongqiudi.com/articles/2147440.html,安德雷亚与维克多，一对好兄弟~,那不勒斯足球俱乐部,07-16 09:06,['安德雷亚与维克多，一对好兄弟~'],"['那不勒斯', '佩塔尼亚', '奥斯梅恩']",https://xyimg1.qunliao.info/fastdfs6/M00/29/19/280x210/crop/-/rBUESWDw23-APIiUAAFmFLrGp3U355.jpg
2147438,https://dongqiudi.com/articles/2147438.html,那不勒斯2021夏训第一日,那不勒斯足球俱乐部,07-16 09:05,['那不勒斯2021夏训第一日'],"['那不勒斯', '斯帕莱蒂', '奥斯梅恩']",https://xyimg1.qunliao.info/fastdfs6/M00/29/19/280x210/crop/-/rBUCgGDw2zWABoeHAAF1cueiGP8912.jpg
2147435,https://dongqiudi.com/articles/2147435.html,迪马洛，我们回来了！,那不勒斯足球俱乐部,07-16 09:04,['迪马洛，我们回来了！'],"['那不勒斯', '斯帕莱蒂']",https://xyimg1.qunliao.info/fastdfs6/M00/29/19/280x210/crop/-/rBUESWDw2vuADduqAAHD8nV6q-w598.jpg
2147434,https://dongqiudi.com/articles/2147434.html,备战新赛季，阿莱格里新赛季的首堂训练课,切尔西遇上巴萨,07-16 09:04,[],"['尤文图斯', '阿莱格里']",https://xyimg1.qunliao.info/fastdfs6/M00/29/19/280x210/crop/-/rBUCgGDw2lyAcqE-AADHvbJieaY337.jpg
2147432,https://dongqiudi.com/articles/2147432.html,那不勒斯俱乐部正式宣布：我们已经与乔瓦尼·迪洛伦...,那不勒斯足球俱乐部,07-16 09:03,['那不勒斯俱乐部正式宣布：我们已经与乔瓦尼·迪洛伦佐续约至2026年6月30日。'],"['那不勒斯', '迪洛伦佐']",https://xyimg1.qunliao.info/fastdfs6/M00/29/19/280x210/crop/-/rBUESWDw2tuAPwV2AAFunDN7cN8821.jpg
2147431,https://dongqiudi.com/articles/2147431.html,本周最后一个工作日，干劲十足早安，罗森内里,AC米兰足球俱乐部,07-16 09:03,['本周最后一个工作日，干劲十足\n\n早安，罗森内里'],['AC米兰'],https://xyimg1.qunliao.info/fastdfs6/M00/29/19/280x210/crop/-/rBUCgGDw2puAKvj_AAQ1G_4b7ug58.jpeg
2147430,https://dongqiudi.com/articles/2147430.html,官方：那不勒斯和迪洛伦佐续约至2026年,Diavel_aDRy,07-16 09:01,"['那不勒斯官方宣布，正式和球队的主力右后卫迪洛伦佐续约至2026年。', '现年27岁的迪洛伦佐2019年夏天以800万欧元的价格从恩波利转会至那不勒斯，上赛季他代表那不勒斯出战了49场正式比赛，47次担任首发，贡献了4粒进球和7次助攻。', '在今夏的欧洲杯上，迪洛伦佐代表意大利出战了6场比赛，其中5次担任首发，并且最终帮助蓝衣军团时隔53年再次赢得欧洲杯的冠军。', '近期迪洛伦佐的名字曾被媒体与曼联放在了一起，但如今那不勒斯用一份2026年到期的新合同锁定了这位意大利国脚的未来。']","['那不勒斯', '迪洛伦佐']",https://xyimg1.qunliao.info/fastdfs6/M00/29/19/280x210/crop/-/rBUCgGDw2iSACDR9AAFr3st6QX8119.jpg
2147417,https://dongqiudi.com/articles/2147417.html,Goal：阿图尔接受膝伤手术，至少休战两个月,Diavel_aDRy,07-16 08:46,"['根据Goal.com的报道，在接受手术解决困扰自己多时的膝盖伤势之后，尤文图斯的中场大将阿图尔将会至少休战两个月的时间，这也意味着他会缺席新赛季开始阶段的一些比赛。', '阿图尔从去年12月起就一直受到膝盖伤势的困扰，那影响了他的表现，也导致他无缘参加今夏的美洲杯，最终这位巴西国脚做出了接受手术的决定，以此彻底解决这一问题。', '如今按照Goal.com的说法 ，在接受了手术之后，现年24岁的阿图尔需要两个月的休息时间，在新赛季意甲8月22日打响的情况下，这位中场球星将会因此缺席部分比赛。', '阿图尔上赛季代表尤文在各项赛事中出场32次，其中19次担任首发，打进1球。']","['尤文图斯', '阿图尔']",https://xyimg1.qunliao.info/fastdfs6/M00/29/17/280x210/crop/-/rBUESWDw1saADg3nAA08sSLfdZQ370.png
2147410,https://dongqiudi.com/articles/2147410.html,意甲发布球衣新规：22/23赛季起禁止非门将球员身穿绿色球衣,ForzaBan,07-16 08:36,"['昨日，意甲联赛官方发布了一则新规，自22/23赛季起，各队的非门将球员将不能身着绿色的球衣出场比赛。', '这条规定写道：“自22/23赛季起，禁止各队球员身着绿色的球衣出场比赛，门将不受影响。”此外意甲还规定，各队的主客场球衣需要以明色、暗色作为区分。', '意甲官方并未对这样的决定作出解释，不过根据此前的报道，禁止绿色球衣是出于电视转播方的要求，他们认为绿色的球衣与场地颜色过于相近，有时会让球员难以辨认。', '受这一规定影响最大的大概就是人称“绿巴萨”的萨索洛队了，他们传统的主场球衣便是以绿色、黑色作为搭配。而在此新规颁布之后，萨索洛自22/23赛季后的主场球衣或许只能采用以黑色为主、绿色为辅的设计了。']","['博洛尼亚', '斯佩齐亚', 'AC米兰', '罗马', '国际米兰', '尤文图斯', '那不勒斯', '拉齐奥', '乌迪内斯', '桑普多利亚', '亚特兰大', '卡利亚里', '佛罗伦萨', '恩波利', '都灵', '萨勒尼塔纳', '热那亚', '维罗纳', '萨索洛', '威尼斯']",https://csimg2.qunliao.info/fastdfs6/M00/29/19/280x210/crop/-/rBUCgGDw2wGAIcIQAAJ7mv-7kuo746.jpg
