article_id,url,title,author,time,content,tags,img_url
2147472,https://dongqiudi.com/articles/2147472.html,意媒、英媒：罗马左后卫最新传闻均为98年小将,荣灿Rycan,07-16 09:37,"['这段时间，除了已经官宣的帕特里西奥以及即将官宣的扎卡，剩下一个重要的因为应该就是在左后卫的位置上，今天据意大利媒体报道，两位98年的小将进入了罗马经理平托的视野当中。', '1998年出生的比尼亚，来自巴甲的帕尔梅拉斯(Palmeiras)，这名左后卫是在2020年1月从乌拉圭民族以405万转会而来的，比尼亚是一名全能的左后卫，同时也可以兼任中后卫的角色，AC米兰在去年也与这位小将差点打成租借买断的协议！', '这名小将的一线职业联赛经验主要还是来自于南美，一共出场115场，共打进10球，并有16次助攻，他的上一次亮相就是在不久前，美洲杯1/4决赛的点球大战中，第4轮罚丢点球，导致乌拉圭被哥伦比亚点球2:4淘汰出局。', '同样也是1998年出生的他，来自西甲的赫塔菲(Getafe)，其实这名球员是一名左边翼位，但同时也能胜任左边后卫的位置，对他同样感兴趣的还有来自英超的球队布莱顿，但是这名刚刚参加完U21欧青杯的队长，还在为了东京奥运会而备战，在8月7日之前，暂时不会考虑他的未来！', '这位巴萨出品的22岁小将，一共在一线职业联赛出场186次，共打进8个进球，18个助攻，他出色的跑位，也成为了斯皮纳佐拉比较合适的替代者，赫塔菲的主席在6月的新闻发布会中，明确表示库库是非卖品，除非能出违约金。库库是去年6月被赫塔菲买断，大致的转会金额为1500万左右，或许租借也是个不错的选择！', '消息参考来源：', 'https://www.forzaroma.info/']","['罗马', '赫塔费', '帕尔梅拉斯', '马克-库库雷利亚', '比尼亚']",https://xyimg1.qunliao.info/fastdfs6/M00/29/10/280x210/crop/-/rBUCgGDwd5eADVvXAAlodwg0xew153.png
2147470,https://dongqiudi.com/articles/2147470.html,世体：萨乌尔缺席了昨天下午马竞的例行训练,快乐的大金毛,07-16 09:35,"['根据《世界体育报》的消息，深陷转会传闻的马竞球员萨乌尔缺席了昨天下午马竞的例行训练。', '《世界体育报》表示，现在所有的目光都集中在萨乌尔身上，一切都表明他很快会成为巴萨的新球员。', '根据马竞的说法，萨乌尔本人昨日在健身房进行了替代性的训练。上午萨乌尔被发现与奥布拉克和孔多比亚在一起，但是到了下午，西班牙中场成为了马竞球队中唯一缺席的球员。', '近日多家媒体报道，萨乌尔与格列兹曼将互换东家。《世界体育报》最后表示，在接下来的几个小时里，这个消息很可能会变为现实。']","['马德里竞技', '巴塞罗那', '格列兹曼', '萨乌尔']",https://xyimg1.qunliao.info/fastdfs6/M00/29/1B/280x210/crop/-/rBUESWDw4haASO8lAADhpaKVIP8847.jpg
2147456,https://dongqiudi.com/articles/2147456.html,罗马诺：米兰续租迪亚斯两年可2300万欧买断，皇马拥有回购权,Diavel_aDRy,07-16 09:21,"['根据意大利知名记者法布里奇奥-罗马诺的报道，AC米兰已经完全和皇家马德里谈妥了卜拉欣-迪亚斯的转会问题，双方即将签署协议完成这笔交易。', '按照罗马诺的说法，卜拉欣-迪亚斯将会以300万欧元租借两个赛季外加2300万欧元买断权的方式继续留在米兰效力，而如果红黑军团选择激活买断条款，那么皇马就将拥有这位西班牙球星2700万欧元的回购权。', '上赛季在租借效力于米兰期间，现年21岁的卜拉欣-迪亚斯出战了37场正式比赛，其中21次担任首发，贡献了7粒进球和3次助攻。']","['AC米兰', '皇家马德里', '卜拉欣-迪亚斯']",https://csimg2.qunliao.info/fastdfs6/M00/29/1A/280x210/crop/-/rBUESWDw3xqAcXtcAAE5XCKjSdo495.jpg
2147455,https://dongqiudi.com/articles/2147455.html,罗本再次宣告退役，一起来看看罗本皇马生涯十佳球,切尔西遇上巴萨,07-16 09:20,[],"['皇家马德里', '罗本']",https://xyimg1.qunliao.info/fastdfs6/M00/29/1A/280x210/crop/-/rBUESWDw3VSAQqIVAADEujyVqlA704.jpg
2147446,https://dongqiudi.com/articles/2147446.html,罗本职业生涯数据： 246个进球，获得德甲、英超和西甲冠军,骆驼飞鸟鱼刺,07-16 09:09,"['昨天荷兰球星罗本第二次宣布自己结束职业生涯，罗本的职业生涯非常辉煌，在职业生涯里罗本效力过埃因霍温、切尔西、皇家马德里以及拜仁慕尼黑等多家欧洲足坛顶级球队，得到过多个冠军。', '罗本的职业生涯里共参加过710场比赛，有246个进球，他得到过8次德甲冠军，5次德国杯冠军，4次德国超级杯冠军，2次英超冠军，2次联赛杯冠军，1次足总杯冠军，2次社区盾杯冠军，1次西甲冠军，1次西班牙超级杯冠军，1次荷甲冠军，2次荷兰超级杯冠军，1次世俱杯冠军，1次欧洲超级杯冠军，还有1次欧冠冠军。']","['拜仁慕尼黑', '皇家马德里', '切尔西', 'PSV埃因霍温', '格罗宁根', '罗本']",https://xyimg1.qunliao.info/fastdfs6/M00/29/19/280x210/crop/-/rBUESWDw3BOAZKSeAADmD7i2yWI678.jpg
2147445,https://dongqiudi.com/articles/2147445.html,又有变数，巴萨想要费利克斯近来一段时间，巴萨和马...,每日体育报,07-16 09:08,['又有变数，巴萨想要费利克斯\n近来一段时间，巴萨和马竞两队之间要用格列兹曼和萨乌尔相互交换的事件闹得沸沸扬扬，两家俱乐部间的讨价还价也有来有回。最早是巴萨希望马竞方面可以多给1500万欧元来补齐两名球员之间的差价，而紧接着马竞方面表示愿意用埃尔莫索和雷南·洛迪来顶替这笔费用。现在，又出现了新的变数，巴萨对埃尔莫索和雷南·洛迪似乎并不感兴趣，巴萨希望马竞可以用费利克斯和萨乌尔一起换格列兹曼。'],"['马德里竞技', '巴塞罗那', '格列兹曼', '萨乌尔']",https://csimg2.qunliao.info/fastdfs6/M00/29/19/280x210/crop/-/rBUCgGDw3BiAZZ2WAADezyKs5-c001.jpg
2147427,https://dongqiudi.com/articles/2147427.html,新纪录！奥莱报：梅西与美洲杯合影创社媒体育类动态获赞纪录,快乐的大金毛,07-16 08:58,"['根据阿根廷媒体《奥莱报》的统计，梅西在社交媒体上发布的与美洲杯合影的照片获赞次数位居该社媒体育类动态历史第一位，再创新纪录。', '赢得了美洲杯之后，梅西在自己的社交媒体上发布了一张与美洲杯奖杯合影的照片，这个照片收到了超过1930万个“点赞”。', '《奥莱报》表示，根据统计，这是历史上该社交媒体体育类动态获得点赞数最多的，梅西又再其他领域创下了新的历史纪录。']","['阿根廷', '巴塞罗那', '梅西']",https://bdimg1.qunliao.info/tos-cn-i-j5hyufq5o6/fastdfs6/M00/29/18/rBUCgGDw2T6AEC6kAAVhF83_Ngs198.png~tplv-j5hyufq5o6-crop:280:210.jpeg
2147419,https://dongqiudi.com/articles/2147419.html,我在手游当主席？皮克名下手游公司获巨额融资人称“...,每日体育报,07-16 08:46,['我在手游当主席？皮克名下手游公司获巨额融资\n人称“皮主席”的巴萨球员皮克不仅在球场上有绝对的领导力，在商界也是不可小觑的人才。据专业媒体Business Insider报道，皮克旗下某款足球卡牌手游近日获得新一轮融资，金额高达5.32亿美金。'],"['巴塞罗那', '皮克']",https://xyimg1.qunliao.info/fastdfs6/M00/29/17/280x210/crop/-/rBUCgGDw1v-ACuRsAABiss-ZQYI211.jpg
2147408,https://dongqiudi.com/articles/2147408.html,德转更新佩德里身价达8000万欧元，一年前他在拉...,天tian足球,07-16 08:35,['德转更新佩德里身价达8000万欧元，一年前他在拉斯帕尔马斯俱乐部踢球，他当时只有720万欧元的身价，目前是巴萨队内身价第二高的球员，仅次于德容9000万欧元的身价，他和梅西8000万欧元的身价榜并列球队第二高的球员。更重要的是佩德里现在只有18岁，超出所属年龄段的超强发挥，展现了很强的才华，前途不可限量！'],[],https://xyimg1.qunliao.info/fastdfs6/M00/29/17/280x210/crop/-/rBUCgGDw1GqAPOPaAAI8ONFn7HM054.jpg
2147392,https://dongqiudi.com/articles/2147392.html,世体丨格列兹曼与萨乌尔的互换交易因工资问题陷入停滞状态,足球放送,07-16 08:17,"['据西班牙媒体《世界体育报》获悉，巴塞罗那和马德里竞技试图推进格列兹曼和萨乌尔之间的互换交易，但目前没有达成任何协议。', '谈判的主要障碍是这位法国前锋的工资，他在巴萨的工资非常高，而马德里竞技目前无法全额支付。', '但是，巴塞罗那的当务之急是削减球队支出，为此他们于周四向马竞明确表示，在任何情况下巴萨都不会给格列兹曼再淘一分钱。', '巴塞罗那没有忘记上赛季送走苏亚雷斯的事情，他们不会像当时那样进行对竞争对手有利的转会。当然，也不能保证格列兹曼回归万达大都会就一定能成功。', '格列兹曼对转会马竞或留在巴萨持开放态度，对于他而言，在哪踢球都无所谓，但是这位法国前锋想详细了解自己的交易会朝哪个方向发展。', '如果这笔交易最终实现，萨乌尔必须根据巴萨方面的财政水平调整年薪。另外，萨乌尔无法像马竞时期一样获得一份长期的合同。', '来源：https://www.mundodeportivo.com/futbol/fc-barcelona/20210715/410528424145/el-barca-se-ha-plantado-hoy-con-el-atletico-no-pagara-nada-de-la-ficha-de-griezmann.html']","['马德里竞技', '巴塞罗那', '格列兹曼', '萨乌尔']",https://bdimg1.qunliao.info/tos-cn-i-j5hyufq5o6/fastdfs6/M00/29/16/rBUCgGDwz4SAW09wAAInUrtUodg81.jpeg~tplv-j5hyufq5o6-crop:280:210.jpeg
