article_id,url,title,author,time,content,tags,img_url
2147469,https://dongqiudi.com/articles/2147469.html,斯基拉：罗马1500万欧元转会费加300万奖金再次报价扎卡,Diavel_aDRy,07-16 09:35,"['按照意大利知名记者尼科洛-斯基拉的说法，罗马已经向阿森纳开出一份1500万欧元转会费外加300万欧元奖金的全新报价，希望能够引进扎卡。', '斯基拉的报道指出，扎卡依然是穆里尼奥引援的主要目标，这位瑞士国脚也已经和罗马谈妥了一份2025年到期，年薪达到250万欧元的合同，虽然阿森纳目前的要价依然在2000万至2200万欧元之间，但红狼有信心能够最终完成这笔交易。', '现年28岁的扎卡上赛季代表阿森纳出战了45场正式比赛，其中42次担任首发，贡献了1粒进球和2次助攻。']","['阿森纳', '罗马', '扎卡', '穆里尼奥']",https://csimg2.qunliao.info/fastdfs6/M00/29/1B/280x210/crop/-/rBUESWDw4biALUYEACsntGDM3w4006.jpg
2147463,https://dongqiudi.com/articles/2147463.html,法媒：加入争夺，热刺要和阿森纳竞争奥亚尔,Gambino,07-16 09:27,"['据法国媒体Le10 Sport的消息，热刺打算向里昂求购奥亚尔。', '根据此前的消息，奥亚尔是阿森纳在今年夏天的引援目标，枪手一直以来非常欣赏这位法国中场，他们还和费基尔传出过绯闻。', 'Le10 Sport表示，阿森纳为奥亚尔开出的第一份报价不到1700万镑(2000万欧元)。报道声称，奥亚尔渴望前往英格兰踢球，而由于财政问题，里昂现在要被迫出售球员，热刺准备求购他。', '奥亚尔与里昂的合同在2023年到期，他在上赛季代表球队参加33场比赛，打进8球，送出3次助攻。']","['阿森纳', '里昂', '托特纳姆热刺', '奥亚尔']",https://xyimg1.qunliao.info/fastdfs6/M00/29/1A/280x210/crop/-/rBUESWDw3_GAePScAAGo1U-Z9eg641.jpg
2147446,https://dongqiudi.com/articles/2147446.html,罗本职业生涯数据： 246个进球，获得德甲、英超和西甲冠军,骆驼飞鸟鱼刺,07-16 09:09,"['昨天荷兰球星罗本第二次宣布自己结束职业生涯，罗本的职业生涯非常辉煌，在职业生涯里罗本效力过埃因霍温、切尔西、皇家马德里以及拜仁慕尼黑等多家欧洲足坛顶级球队，得到过多个冠军。', '罗本的职业生涯里共参加过710场比赛，有246个进球，他得到过8次德甲冠军，5次德国杯冠军，4次德国超级杯冠军，2次英超冠军，2次联赛杯冠军，1次足总杯冠军，2次社区盾杯冠军，1次西甲冠军，1次西班牙超级杯冠军，1次荷甲冠军，2次荷兰超级杯冠军，1次世俱杯冠军，1次欧洲超级杯冠军，还有1次欧冠冠军。']","['拜仁慕尼黑', '皇家马德里', '切尔西', 'PSV埃因霍温', '格罗宁根', '罗本']",https://xyimg1.qunliao.info/fastdfs6/M00/29/19/280x210/crop/-/rBUESWDw3BOAZKSeAADmD7i2yWI678.jpg
2147443,https://dongqiudi.com/articles/2147443.html,意媒：尽管热刺考虑引进什克，但他只想为国米效力,Gambino,07-16 09:08,"['据意大利媒体calciomercato的消，什克里尼亚尔想要留在国际米兰。', '根据此前的消息，热刺有兴趣签下什克里尼亚尔，他们在去年夏天就和这位斯洛伐克后卫传出绯闻，但没能完成转会，如今热刺可能重燃兴趣。', '据悉，帕拉蒂奇非常欣赏什克，他当初还希望将球员带到尤文图斯。不过，什克的想法非常清楚，他不想要离开国际米兰。', 'calciomercato表示，什克已经在过往表现出他对于国际米兰的热爱，第一次是通过炒掉经纪人并且和球队续约，第二次则是在孔蒂时期接受坐板凳然后逐渐夺回位置。尽管热刺在考虑引进什克，但什克只想为国米效力。']","['国际米兰', '托特纳姆热刺', '什克里尼亚尔']",https://xyimg1.qunliao.info/fastdfs6/M00/29/19/280x210/crop/-/rBUESWDw22uATMOtAAG2vbuWsl4546.jpg
2147437,https://dongqiudi.com/articles/2147437.html,利物浦集训内幕7月15日,利物浦6号蒂亚戈,07-16 09:05,[],"['利物浦', '利物浦U21', '科纳特', '利物浦U23']",https://csimg2.qunliao.info/fastdfs6/M00/29/18/280x210/crop/-/rBUESWDw2hSAHQ3qAAKI09mQr5Y896.jpg
2147429,https://dongqiudi.com/articles/2147429.html,备战新赛季，阿森纳最新训练视频,切尔西遇上巴萨,07-16 09:00,[],['阿森纳'],https://xyimg1.qunliao.info/fastdfs6/M00/29/18/280x210/crop/-/rBUESWDw2BuACyFyAAD4th7m7JA977.jpg
2147424,https://dongqiudi.com/articles/2147424.html,马特乌斯：凯恩对英格兰的作用比C罗对葡萄牙更大,骆驼飞鸟鱼刺,07-16 08:53,"['德国足坛名宿马特乌斯评选出了自己心目中的本届欧洲杯最佳阵容，在马特乌斯的评选中，他在前锋位置选择了英格兰队长凯恩，而没有选择本届欧洲杯的最佳射手C罗，马特乌斯解释了自己的选择。', '马特乌斯表示：“凯恩不仅仅是因为他的4个进球让人印象深刻，还有他的团队能力。他不仅仅是执行者，也是锋线身后的导演，也是能够传出威胁传球的组织者。因此他对英格兰，比C罗的5个进球对葡萄牙来说价值更大。”']","['英格兰', '葡萄牙', '尤文图斯', '托特纳姆热刺', 'C罗', '哈里-凯恩', '马特乌斯']",https://xyimg1.qunliao.info/fastdfs6/M00/29/18/280x210/crop/-/rBUESWDw2F2AMJ7mAADMkjdfdCk463.jpg
2147423,https://dongqiudi.com/articles/2147423.html,意媒：尤文有信心击败阿森纳，今天再次约见萨索洛谈洛卡特利,Diavel_aDRy,07-16 08:53,"['根据意大利天空体育的报道，尤文图斯会在当地时间今天再次和萨索洛进行会面，继续商讨洛卡特利的转会问题，他们有信心能够在这场争夺战中击败阿森纳。', '该报道表示，虽然阿森纳已经向萨索洛报价4000万欧元，但洛卡特利只想加盟尤文，并且希望能够继续留在意甲，而目前斑马军团的计划是以3000万欧元的转会费外加一名或者多名青年队的球员来完成这笔交易。', '意大利天空体育还表示，尤文可能选择用以引进洛卡特利的另一种交易方式是租借两年外加强制买断。']","['阿森纳', '尤文图斯', '萨索洛', '洛卡特利']",https://xyimg1.qunliao.info/fastdfs6/M00/29/18/280x210/crop/-/rBUCgGDw2F-APTW2ACbPXb2V93w861.jpg
2147416,https://dongqiudi.com/articles/2147416.html,拜仁外租中场费恩：我的偶像是施魏因斯泰格和博格巴,骆驼飞鸟鱼刺,07-16 08:45,"['拜仁慕尼黑年轻中场费恩新赛季将租借效力于德甲升班马菲尔特，费恩接受了德国媒体《图片报》的采访，费恩表示自己的偶像是施魏因斯泰格和博格巴。', '上个赛季费恩效力于荷甲的埃因霍温，他和格策是队友。费恩：“格策是一个很好的人，他也给了我很多建议。”', '费恩：“我的偶像是博格巴和施魏因斯泰格，当我还是拜仁青训球员的时候，就一直看施魏因斯泰格踢球。”', '谈到在菲尔特的保级前景，费恩：“当然会很难，不过我们也有不错的机会保级成功。”']","['拜仁慕尼黑', '菲尔特', '曼联', 'PSV埃因霍温', '博格巴', '格策', '施魏因斯泰格', '艾德里安-费恩']",https://xyimg1.qunliao.info/fastdfs6/M00/29/17/280x210/crop/-/rBUESWDw1o6Ada8OAAEGi5pFtX4390.jpg
2147414,https://dongqiudi.com/articles/2147414.html,温馨的阿尔米隆一家周五的喜鹊笑得最甜图片来自阿尔...,纽卡斯尔联足球俱乐部,07-16 08:39,['温馨的阿尔米隆一家\n\n周五的喜鹊笑得最甜\n\n图片来自阿尔米隆个人社交媒体'],"['纽卡斯尔联', '阿尔米隆']",https://xyimg1.qunliao.info/fastdfs6/M00/29/17/280x210/crop/-/rBUCgGDw1TKAf8zMAAKKVoFEk0Q351.jpg
